scoreThreshold;bulletSpawnChance;crashSpawnChance;dashSpawnChance;bulletSpeed;crashSpeed;dashSpeed;multiSpawnChance1;multiSpawnChance2;multiSpawnChance3;minSpawnTime ;maxSpawnTime
1;0.8;0.05;0.15;3;3;2.5;0;0.2;0.8;1;2.2
3;0.75;0.1;0.15;3.4;2.7;2.8;0;0.15;0.85;1;2.1
7;0.65;0.15;0.2;3.8;2.5;3.1;0;0.1;0.9;1;2.0
10;0.5;0.20;0.3;4.2;2.3;3.4;0;0.05;0.95;1;1.9
15;0.35;0.25;0.4;4.6;2.1;3.7;0;0;1;1;1.8
20;0.30;0.30;0.4;5;1.9;4;0;0;1;1;1.7
30;0.30;0.30;0.4;5.4;1.7;4.3;0;0;1;1;1.6
40;0.30;0.30;0.4;5.8;1.5;4.6;0;0;1;1.0;1.5
50;0.30;0.30;0.4;6.2;1.3;4.9;0;0;1;0.9;1.4
70;0.30;0.30;0.4;6.6;1.1;5.2;0;0;1;0.8;1.3
90;0.30;0.30;0.4;7;0.9;5.5;0;0;1;0.7;1.2
120;0.30;0.30;0.4;7.4;0.7;5.8;0;0;1;0.6;1.1
150;0.30;0.30;0.4;7.8;0.7;6.1;0;0;1;0.5;1
200;0.30;0.30;0.4;10;0.7;8;0;0;1;0.4;0.9
